@relation iris-weka.filters.unsupervised.instance.RemoveFolds-S1-N10-F9

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
6.5,3,5.2,2,Iris-virginica
4.9,2.4,3.3,1,Iris-versicolor
5.7,3,4.2,1.2,Iris-versicolor
4.4,3.2,1.3,0.2,Iris-setosa
7.9,3.8,6.4,2,Iris-virginica
5.2,4.1,1.5,0.1,Iris-setosa
6,2.9,4.5,1.5,Iris-versicolor
5.1,3.8,1.9,0.4,Iris-setosa
4.4,3,1.3,0.2,Iris-setosa
6.3,3.3,4.7,1.6,Iris-versicolor
6.9,3.1,5.1,2.3,Iris-virginica
5.4,3,4.5,1.5,Iris-versicolor
5.8,4,1.2,0.2,Iris-setosa
4.8,3.1,1.6,0.2,Iris-setosa
6.7,3.3,5.7,2.1,Iris-virginica
5,3.4,1.6,0.4,Iris-setosa
4.8,3.4,1.6,0.2,Iris-setosa
6.3,2.8,5.1,1.5,Iris-virginica
4.9,3.1,1.5,0.1,Iris-setosa
5.5,2.5,4,1.3,Iris-versicolor
4.3,3,1.1,0.1,Iris-setosa
5.8,2.8,5.1,2.4,Iris-virginica
5.7,2.5,5,2,Iris-virginica
7,3.2,4.7,1.4,Iris-versicolor
6.4,2.9,4.3,1.3,Iris-versicolor
5.5,2.6,4.4,1.2,Iris-versicolor
5.1,3.5,1.4,0.2,Iris-setosa
6.4,2.7,5.3,1.9,Iris-virginica
6.3,2.5,4.9,1.5,Iris-versicolor
7.7,3,6.1,2.3,Iris-virginica
